SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2013-14,2014-02-12,BUC,BUC,41,79,0.519,35,66,0.53,6,13,0.462,14,17,0.824,10,28,38,23,9,5,10,19,102,0.59,0.557,0.165,0.215,27.8,77.8,52.8,56.1,10.4,7.8,10.4,117.7,113.1
2013-14,2014-02-19,KNI,PEL,35,75,0.467,28,54,0.519,7,21,0.333,14,21,0.667,10,32,42,16,6,9,13,20,91,0.54,0.513,0.28,0.28,28.6,71.1,52.5,45.7,7.1,14.5,13.4,107.1,115.3
2013-14,2014-02-21,BOB,BOB,35,83,0.422,26,60,0.433,9,23,0.391,8,11,0.727,6,32,38,20,2,7,12,27,87,0.495,0.476,0.277,0.133,15.4,69.6,44.7,57.1,2.2,10.8,12.0,96.2,99.5
2013-14,2014-02-22,WIZ,WIZ,35,81,0.432,29,68,0.426,6,13,0.462,17,21,0.81,8,30,38,20,9,3,15,22,93,0.515,0.469,0.16,0.259,19.5,76.9,47.5,57.1,9.6,5.0,14.3,99.6,100.6
2013-14,2014-02-24,CLI,PEL,37,87,0.425,30,69,0.435,7,18,0.389,29,35,0.829,20,30,50,24,2,7,9,23,110,0.537,0.466,0.207,0.402,40.0,75.0,55.6,64.9,2.2,12.7,8.1,122.0,136.4
2013-14,2014-02-26,MAV,MAV,36,71,0.507,27,51,0.529,9,20,0.45,8,19,0.421,10,30,40,22,4,3,21,14,89,0.561,0.57,0.282,0.268,25.0,88.2,54.1,61.1,4.4,5.3,20.9,98.7,119.8
2013-14,2014-02-28,SUN,SUN,42,78,0.538,37,65,0.569,5,13,0.385,15,17,0.882,8,24,32,18,9,4,14,26,104,0.608,0.571,0.167,0.218,25.8,66.7,47.8,42.9,10.1,7.8,14.1,117.2,130.7
2013-14,2014-03-01,CLI,CLI,28,85,0.329,25,63,0.397,3,22,0.136,17,19,0.895,11,33,44,13,4,6,22,29,76,0.407,0.347,0.259,0.224,23.4,78.6,49.4,46.4,4.1,10.7,19.1,77.1,109.5
2013-14,2014-03-03,KIN,KIN,32,75,0.427,26,55,0.473,6,20,0.3,19,28,0.679,7,23,30,16,8,5,9,35,89,0.51,0.467,0.267,0.373,18.4,59.0,39.0,50.0,9.2,8.2,9.3,102.1,110.1
2013-14,2014-03-04,LAK,LAK,46,77,0.597,39,60,0.65,7,17,0.412,33,40,0.825,9,30,39,29,9,2,15,23,132,0.698,0.643,0.221,0.519,32.1,73.2,56.5,63.0,9.1,3.2,13.7,133.6,126.6
2013-14,2014-03-07,BUC,PEL,42,84,0.5,34,64,0.531,8,20,0.4,20,23,0.87,11,31,42,31,4,9,9,26,112,0.595,0.548,0.238,0.274,27.5,66.0,48.3,73.8,4.4,13.0,8.7,124.4,115.6
2013-14,2014-03-09,NUG,PEL,41,90,0.456,36,76,0.474,5,14,0.357,24,33,0.727,18,30,48,21,11,13,24,25,111,0.531,0.483,0.156,0.367,35.3,71.4,51.6,51.2,10.1,21.0,18.7,102.1,98.5
2013-14,2014-03-12,GRI,PEL,31,75,0.413,27,57,0.474,4,18,0.222,22,22,1.0,9,30,39,16,11,8,17,19,88,0.52,0.44,0.24,0.293,23.1,71.4,48.1,51.6,12.4,14.3,16.7,99.5,101.8
2013-14,2014-03-14,BLA,PEL,41,86,0.477,38,75,0.507,3,11,0.273,18,21,0.857,8,36,44,22,6,3,10,22,103,0.541,0.494,0.128,0.244,20.5,85.7,54.3,53.7,6.2,6.7,9.5,106.6,114.9
2013-14,2014-03-16,CEL,PEL,47,94,0.5,44,79,0.557,3,15,0.2,24,28,0.857,12,32,44,25,8,9,12,17,121,0.569,0.516,0.16,0.298,25.0,71.1,47.3,53.2,7.6,12.7,10.1,114.8,113.9
2013-14,2014-03-19,RAP,PEL,36,67,0.537,32,54,0.593,4,13,0.308,24,32,0.75,5,29,34,16,4,6,12,25,100,0.617,0.567,0.194,0.478,16.1,56.9,41.5,44.4,4.6,9.4,12.9,114.8,122.9
2013-14,2014-03-21,HAW,HAW,36,70,0.514,32,57,0.561,4,13,0.308,35,43,0.814,7,33,40,20,10,6,15,28,111,0.624,0.543,0.186,0.614,21.2,80.5,54.1,55.6,10.2,10.5,14.4,113.0,106.9
2013-14,2014-03-22,HEA,PEL,43,84,0.512,36,67,0.537,7,17,0.412,12,17,0.706,11,27,38,23,12,4,9,14,105,0.574,0.554,0.202,0.202,28.2,84.4,53.5,53.5,13.5,8.5,9.0,118.5,107.2
2013-14,2014-03-24,NET,PEL,40,85,0.471,31,65,0.477,9,20,0.45,20,27,0.741,14,39,53,19,7,5,16,26,109,0.563,0.524,0.235,0.318,31.1,72.2,53.5,47.5,7.2,10.0,14.2,112.6,107.4
2013-14,2014-03-26,CLI,PEL,38,90,0.422,35,78,0.449,3,12,0.25,19,25,0.76,17,36,53,24,6,9,13,20,98,0.485,0.439,0.133,0.278,37.8,75.0,57.0,63.2,6.5,18.0,11.4,106.7,104.6
